X,Y
1.2421431,1.1717629
2.3348046,1.8823554
0.1326433,0.3428271
2.3469988,2.1056512
6.7389056,1.6476588
3.7088873,2.3623765
11.8533500,2.1211766
-1.8707854,-0.7971202
4.5024590,2.0310951
3.2798363,1.9795313
1.7572682,1.4709548
3.3784243,2.4610672
11.4703460,1.9818928
9.0595416,1.1202852
-2.8174477,-1.3701397
9.3184495,1.0287304
8.4210660,1.3807704
0.8621479,1.2178235
7.5544377,1.4083926
-3.9883270,-1.5208724
4.4970249,2.3881414
8.3062275,1.3682297
-2.6069534,-0.9911980
4.4800554,2.0456873
-1.5073673,-0.7191644
9.6283590,1.4128871
-0.6250038,0.1478953
-0.2801590,0.4024752
-0.1011732,0.3921272
7.4911834,1.3949197
3.4492085,2.1508126
-4.0705510,-1.6038757
-1.7480843,-0.5651051
7.3176114,1.4494307
11.5522440,2.0077717
6.9762965,1.5654509
8.6259390,0.9207795
-1.4937856,-0.3083888
8.1353418,1.1414546
9.8358766,1.5950321
8.7256175,1.1620196
7.8626691,1.3665559
10.3784180,1.3596056
2.1569760,2.0666331
6.1928045,1.7779095
-4.9779585,-1.6942251
11.6940300,2.1346928
2.0093448,1.9221703
0.9091621,0.9487008
6.3589285,1.5030352
2.5424801,2.0884899
9.2777895,1.2275555
4.0017789,1.9671808
-0.6285956,0.1250171
-2.3429246,-1.1813651
4.4828742,2.2682710
11.3421050,2.0343778
11.1716350,1.9130043
7.4927089,1.2571767
-1.2165585,-0.4384092
3.4427246,2.3377298
-4.8805891,-1.4860570
0.3752561,0.8134163
7.5530827,1.5714659
8.4357108,1.3242354
1.8048051,1.7304581
1.7980896,1.5400972
-0.7212376,-0.0417043
-3.4374984,-1.3721798
5.2374846,2.2081153
9.1516244,1.1718142
-0.0107771,0.4241360
2.9141333,2.2643926
-4.2260437,-1.4192846
-3.5427174,-1.5011527
3.7234601,2.1200465
7.1622656,1.4517493
-4.3975951,-1.5990128
11.6528300,2.1215361
3.4566372,1.7080061
6.9126457,1.7471908
8.6531912,0.9030250
3.7834624,2.0958237
3.5458639,1.9744402
7.8305554,1.1578630
-0.9521773,-0.4504444
11.0322850,1.7651026
-3.4933700,-1.2828881
4.2311613,2.0858834
10.3586840,1.3242955
9.6424676,1.0501404
5.7351564,2.0126373
-0.5398203,-0.1328261
1.4432991,1.4319692
0.7345043,0.8515133
0.3481135,0.6465410
11.1007540,1.7838535
4.0979050,2.3289020
6.9332372,1.3157936
9.8756453,1.1213807
