origin,age,gender,education,degree,language,job_level,current_role,hired
asia,12,male,high_school,stem,c,student,student,no
asia,12,male,high_school,other,c,student,student,no
asia,12,male,high_school,other,c,student,student,no
canada,12,male,high_school,stem,python,student,student,no
asia,13,male,high_school,stem,c,student,student,no
asia,14,male,high_school,other,c,student,student,no
asia,14,male,high_school,stem,c,student,student,no
united_states,14,male,high_school,computer_science,python,student,student,no
africa,14,male,high_school,other,python,student,student,no
europe,14,male,high_school,stem,python,student,student,no
europe,14,female,high_school,other,python,student,student,no
europe,14,male,high_school,other,sql,student,student,no
europe,15,male,high_school,stem,c,student,student,no
united_states,15,male,high_school,other,c,student,student,no
asia,15,male,high_school,stem,c,student,student,no
united_states,15,male,high_school,computer_science,c,student,student,no
asia,15,female,high_school,computer_science,c,student,student,no
asia,15,female,high_school,stem,c,student,student,no
asia,15,male,high_school,stem,c,student,student,no
asia,15,male,high_school,stem,c,student,student,no
asia,15,male,high_school,computer_science,c,student,student,no
asia,15,male,high_school,other,java,student,student,no
asia,15,male,high_school,other,python,student,student,no
united_states,15,female,high_school,other,python,student,student,no
asia,16,male,high_school,stem,c,student,student,no
asia,16,male,high_school,stem,c,student,student,no
asia,16,male,high_school,stem,c,student,student,no
united_states,16,male,high_school,other,c,student,student,no
asia,16,female,high_school,stem,c,student,student,no
asia,16,male,high_school,stem,c,student,student,no
asia,16,male,high_school,computer_science,c,student,student,no
europe,16,male,high_school,other,java,student,student,no
africa,17,male,high_school,stem,c,student,student,no
australia,17,female,high_school,other,c,student,student,no
asia,17,male,high_school,other,c,student,student,no
asia,17,male,high_school,computer_science,c,student,student,no
asia,17,male,high_school,other,c,student,student,no
africa,17,female,high_school,other,js,student,student,no
middle_east,18,male,college,stem,c,student,student,yes
united_states,18,male,college,computer_science,c,student,student,yes
united_states,18,male,college,other,c,student,student,no
united_states,18,male,college,other,c,student,student,no
europe,18,male,college,computer_science,c,student,student,yes
europe,18,male,college,computer_science,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,other,c,student,student,no
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,computer_science,c,student,student,yes
europe,18,male,college,computer_science,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
asia,18,female,college,other,c,student,student,no
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
asia,18,male,college,computer_science,c,student,student,yes
asia,18,male,college,stem,c,student,student,yes
